Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Australia,Jan-19,891.0822,13249.6553,278.7933,0.0,1211.1152,4947.2803,0.0,0.0,461.4962,0.0,0.0,1670.8699,1375.1294,0.0,0.0,47.1036
Australia,Jan-20,872.2352,12622.1666,258.7964,0.0,1129.6449,4488.7581,0.0,0.0,366.5714,0.0,0.0,2099.6973,1639.9641,0.0,0.0,48.8827
Australia,Jan-21,970.7765,11332.3595,260.7637,0.0,1078.7919,3681.1135,0.0,0.0,344.7154,0.0,0.0,3250.8873,2265.2593,0.0,0.0,52.9861
Australia,Jan-22,1029.6725,11206.6573,249.7659,,1244.0871,3797.2571,,,355.5916,0.0,,4134.8514,2542.1037,,,61.1048
Australia,Jan-23,1006.1686,10231.1342,260.3499,,1190.7296,3382.409,,,316.7434,,,4967.0119,2614.8241,,,58.483999999999995
Australia,Jul-10,1493.036,14972.031,165.18400000000003,0.083,1504.626,4110.435,,,5.272,,,64.998,320.106,,,17.198
Australia,Jul-11,1304.461,14623.236,237.59099999999998,0.083,1525.185,3843.111,,,54.025,,,108.56299999999999,621.479,,,19.147000000000002
Australia,Jul-12,1215.972,13035.017,246.108,0.083,2094.819,4592.02,,,67.53,,,162.30700000000002,534.268,,,30.018
Australia,Jul-13,998.3910000000001,12701.0,272.38,0.083,1968.52,3846.665,,,14.220999999999998,,,187.24200000000002,881.8639999999999,,,15.078
Australia,Jul-14,1178.262,12918.778999999999,283.17900000000003,0.083,1585.126,4787.471,,,21.22,,,234.542,1287.753,,,24.250999999999998
Australia,Jul-15,858.822,14074.1181,271.4418,0.0,1561.0525,3946.8895,,,511.5112,,,271.3434,1360.0811,,,23.8832
Australia,Jul-16,1175.517,13370.677,274.567,0.083,1825.668,3731.0240000000003,,,611.682,,,426.889,1416.11,,,47.309
Australia,Jul-17,893.2579,12965.2226,331.1712,0.0,1495.6915,4382.1639,,,458.0169,,,543.2299,1529.1689,,,38.7585
